1A21has logged 

Thu Sep 27 16:15:44 2018,1,1A15has logged

2018/09/27 16:22:03,1,1A21 has logged
2018/09/27 16:56:51,1,1A56 has logged
2018/09/27 16:56:55,2,1A56,aud
2018/09/27 17:54:01,2,1A49,Query: adid
2018/09/27 17:59:07,1,1A59 has logged
2018/09/27 17:59:10,2,1A59,Query: adud
2018/09/27 18:02:49,2,1A59,Query: adud
2018/09/27 18:03:15,2,1A59,Query: adid
2018/09/27 18:13:22,2,1A59,Query: adid
2018/09/27 18:17:55,2,1A59,Query: adid
2018/09/27 18:18:13,2,1A59,Query: adid
2018/09/27 18:18:35,2,1A59,Query: adid buttonID=2
2018/09/27 18:28:00,2,1A59,Query: adid ?buttonID=2
2018/09/27 18:28:05,2,1A59,Query: adid ?buttonID=2
2018/09/27 18:33:10,2,1A59,Query: adihd
2018/09/27 18:34:06,2,1A59,Query: adihd
2018/09/27 18:36:38,2,1A59,Query: adihd
2018/09/27 18:36:59,2,1A59,Query: adihd
2018/09/27 18:37:35,2,1A59,Query: adihd
2018/09/27 18:37:58,2,1A59,Query: adihd
2018/09/27 18:41:27,2,1A59,Query: adihd
2018/09/27 18:41:57,2,1A59,Query: adihd
2018/09/27 18:42:56,2,1A59,Query: adhd
2018/09/27 18:44:28,2,1A59,Query: adhd
2018/09/27 18:45:08,2,1A59,Query: adhd
2018/09/27 18:48:10,2,1A59,Query: adhd
2018/09/27 18:50:09,2,1A59,Query: adhd
2018/09/27 18:50:21,2,1A59,Query: adhd
2018/09/27 18:52:24,1,1A52 has logged
2018/09/27 18:52:37,2,1A52,Query: adhd
2018/09/27 18:52:46,3,1A52,Click buttons number: 3
